"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-10",50000,"DP-CNN",3,1e-05,40224,470,8.53457974249565,1.11274088186397,0.80448,21.4453125,550570,1.74992948770523,0.441332401659134,1.76467043161392,0.4434
"CIFAR-10",50000,"DP-CNN",3,1e-05,28480,360,2.87487108996334,7.01769202627506,0.5696,18.7890625,550570,2.03879813637052,0.320007082318736,2.02235299348831,0.3375
"CIFAR-10",50000,"DP-CNN",3,1e-05,27952,155,0.21753494904593,4.20464243695672,0.55904,12.34375,550570,1.61669472285679,0.437756074317474,1.62254518270493,0.4397
"CIFAR-10",50000,"DP-CNN",3,1e-05,208,155,5.52898555256357,8.65756792408774,0.00416,1.31591796875,550570,25.7498822192433,0.13707699713523,26.565745010376,0.145192307692308
"CIFAR-10",50000,"DP-CNN",3,1e-05,9600,210,3.35091496265697,5.11604140402053,0.192,8.3203125,550570,2.12590756135828,0.287351022421535,2.04703640937805,0.3075
"CIFAR-10",50000,"DP-CNN",3,1e-05,15200,410,3.71723210431008,5.21485589787325,0.304,14.1796875,550570,2.16862544417381,0.265316026841773,2.1762900352478,0.28
"CIFAR-10",50000,"DP-CNN",3,1e-05,1232,225,3.21942041694828,3.31687372747089,0.02464,3.359375,550570,2.55431925378195,0.162014600239741,2.81795110702515,0.14614898989899
"CIFAR-10",50000,"DP-CNN",3,1e-05,9424,315,6.91547249647674,8.13782265406361,0.18848,10.17578125,550570,4.27138362990485,0.109009945810721,5.65557885169983,0.1473
"CIFAR-10",50000,"DP-CNN",3,1e-05,5168,500,2.39746034789883,1.99076541361549,0.10336,9.921875,550570,1.79997972846031,0.382660486326019,1.79214203357696,0.3956
"CIFAR-10",50000,"DP-CNN",3,1e-05,208,115,2.28553808069377,1.42320521776934,0.00416,1.181640625,550570,37.7387232958529,0.11156887144614,38.422912940979,0.118653846153846
"CIFAR-10",50000,"DP-CNN",3,1e-05,38432,495,2.53743609839089,0.708907045519671,0.76864,22.03125,550570,1.20692488125392,0.666010548308,1.31337404251099,0.6447
"CIFAR-10",50000,"DP-CNN",3,1e-05,37968,330,5.93001572950739,0.485874108521575,0.75936,17.96875,550570,1.2416553241866,0.666631586459411,1.37742930650711,0.6421
"CIFAR-10",50000,"DP-CNN",3,1e-05,35840,295,4.26900410533592,0.473356426500313,0.7168,17.03125,550570,1.33143475225994,0.613322046016491,1.34530287981034,0.6049
"CIFAR-10",50000,"DP-CNN",3,1e-05,29744,275,7.75114237055638,7.18836668184108,0.59488,16.40625,550570,4.88168026850774,0.175702593542015,4.87549924850464,0.1922
"CIFAR-10",50000,"DP-CNN",3,1e-05,30080,295,8.30492544296636,8.81282938856172,0.6016,17.03125,550570,8.67286988667079,0.12238444884482,7.90876936912536,0.1826
"CIFAR-10",50000,"DP-CNN",3,1e-05,44304,485,2.54986016791802,7.07950488233359,0.88608,21.796875,550570,2.05563001121793,0.315305245846593,2.0119366645813,0.33
"CIFAR-10",50000,"DP-CNN",3,1e-05,14944,390,6.11467579495201,9.31543135261816,0.29888,13.828125,550570,5.60533282160759,0.135053640704077,4.49207854270935,0.1499
"CIFAR-10",50000,"DP-CNN",3,1e-05,10704,360,3.66358971838713,1.41591014483403,0.21408,11.9140625,550570,1.59459264278412,0.485186549889639,1.61853927373887,0.4828
"CIFAR-10",50000,"DP-CNN",3,1e-05,1008,95,2.38002634794269,3.4830384122343,0.02016,2.0703125,550570,2.20418585300446,0.238860517011267,2.14088654518127,0.273365964843238
"CIFAR-10",50000,"DP-CNN",3,1e-05,8176,200,3.29004389595552,9.2814731470138,0.16352,7.5390625,550570,2.64245739153453,0.213113663705612,2.57319343090058,0.2219
"CIFAR-10",50000,"DP-CNN",3,1e-05,41792,425,7.98347687898744,0.601145122350577,0.83584,20.390625,550570,1.57215353420803,0.594416201811772,1.58113676309585,0.5999
"CIFAR-10",50000,"DP-CNN",3,1e-05,37408,125,1.76423017252762,2.51941144350691,0.74816,11.09375,550570,1.30398834210176,0.580800127199961,1.3601798415184,0.5659
"CIFAR-10",50000,"DP-CNN",3,1e-05,43520,435,7.08772755564818,4.74852762169356,0.8704,20.625,550570,2.4504679952349,0.249793305488229,2.44616758823395,0.273
"CIFAR-10",50000,"DP-CNN",3,1e-05,6128,460,4.26317025460987,9.42879160941583,0.12256,10.0390625,550570,37.5962920718723,0.122471259995182,37.531665802002,0.129
"CIFAR-10",50000,"DP-CNN",3,1e-05,27440,330,1.55315478477746,4.60820925595368,0.5488,17.96875,550570,1.60224806410926,0.534391135294937,1.61513048410415,0.5368
"CIFAR-10",50000,"DP-CNN",3,1e-05,9168,155,8.77110556440507,9.65751856860155,0.18336,7.16796875,550570,4.56126682511691,0.114803994603267,9.32876205444336,0.161
"CIFAR-10",50000,"DP-CNN",3,1e-05,43568,300,8.88340473402917,1.07469478905066,0.87136,17.1484375,550570,1.6997080216041,0.484267611473236,1.67403358221054,0.4973
"CIFAR-10",50000,"DP-CNN",3,1e-05,12304,265,7.24378334864214,4.79108068897061,0.24608,10.234375,550570,2.64581004778544,0.21295868654391,2.60861504077911,0.2211
"CIFAR-10",50000,"DP-CNN",3,1e-05,38048,435,3.14652529504901,9.44911012191468,0.76096,20.625,550570,2.39456062657493,0.241783629414604,2.365931391716,0.2459
"CIFAR-10",50000,"DP-CNN",3,1e-05,45904,35,1.04149946174331,9.94812322582872,0.91808,5.95703125,550570,2.19125580787659,0.228479441709593,2.07464361190796,0.2407
"CIFAR-10",50000,"DP-CNN",3,1e-05,14384,35,8.69063363948973,3.18929697742159,0.28768,4.27734375,550570,2.34015049040318,0.303985221835754,2.22575712203979,0.3243
"CIFAR-10",50000,"DP-CNN",3,1e-05,31408,140,6.03554528588743,3.78926360321833,0.62816,11.7578125,550570,1.93310164553779,0.403477290253873,1.91389310359955,0.4184
