"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"IMDB",25000,"SimpleLSTM",7.5,1e-05,13712,460,8.29281347616389,3.01283159346905,0.54848,9.658203125,244514,0.692332638980918,0.523561259274113,0.695931773219109,0.51388
"IMDB",25000,"SimpleLSTM",7.5,1e-05,4656,305,4.40025851026117,1.36035845734144,0.18624,4.599609375,244514,0.924569032433249,0.499177268531525,0.943919693992138,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,16400,160,7.86977419990187,8.35409611702927,0.656,5.7373046875,244514,53.3246241131765,0.648461446598463,1.70689081228659,0.50004
"IMDB",25000,"SimpleLSTM",7.5,1e-05,4768,35,3.16485926475705,1.31875164908772,0.19072,1.73583984375,244514,0.792033933518456,0.551608792609111,0.722029052686691,0.50008
"IMDB",25000,"SimpleLSTM",7.5,1e-05,18336,285,2.02527736781788,8.7138720947662,0.73344,7.6220703125,244514,26.6768690083185,0.4967967848474,0.93630626847744,0.50008
"IMDB",25000,"SimpleLSTM",7.5,1e-05,3840,375,5.29659809708073,8.42652515733129,0.1536,4.716796875,244514,70.746746873643,0.499066830798555,94.0654372802734,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,3040,470,8.83317066079253,2.54118115287165,0.1216,4.6533203125,244514,17.9877378522356,0.462492904062931,1.21758175582886,0.52748
"IMDB",25000,"SimpleLSTM",7.5,1e-05,1872,320,3.08805275654313,2.61908694854852,0.07488,3.1298828125,244514,0.699728469248361,0.51296922829064,0.691479006080627,0.52228
"IMDB",25000,"SimpleLSTM",7.5,1e-05,19984,95,8.6182670477475,4.58848431626035,0.79936,4.453125,244514,69.1144870888497,0.499840586641161,21.8926853501892,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,19344,120,4.09592075183475,7.02637284711307,0.77376,4.990234375,244514,50.1131905379367,0.502115937400192,46.8848547994995,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,12832,395,0.890746723568634,4.74505897586829,0.51328,8.955078125,244514,0.659087687124329,0.639827289809299,0.664137352693081,0.6124
"IMDB",25000,"SimpleLSTM",7.5,1e-05,15408,295,0.19949724025892,7.89438445697691,0.61632,7.75390625,244514,0.676470438502993,0.579069860760002,0.674035105698109,0.59876
"IMDB",25000,"SimpleLSTM",7.5,1e-05,9120,455,9.83432101379529,6.96136716554368,0.3648,7.861328125,244514,122.45159709749,0.503511746185517,43.7188799389648,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,13216,485,5.01142512175493,9.28026093320593,0.52864,9.912109375,244514,82.6763490790465,0.500558793007105,87.803071239624,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,6256,160,2.20745470690889,2.51287279444234,0.25024,4.1015625,244514,0.68432254012755,0.574985062736507,0.686093633861542,0.56868
"IMDB",25000,"SimpleLSTM",7.5,1e-05,21008,305,7.56692915210839,1.83167445325951,0.84032,7.880859375,244514,29.5049998795147,0.383128992580248,37.1543053131103,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,8432,290,1.28562390912301,1.72319466486619,0.33728,6.298828125,244514,0.654332560691084,0.608296564765206,0.635525977435112,0.64172
