"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-100",50000,"D121",7.5,1e-05,23456,155,9.96958613663916,0.134296913881296,0.46912,4.6435546875,7056356,3.66262851944265,0.15843778880221,3.693998671495,0.158806421881228
"CIFAR-100",50000,"D121",7.5,1e-05,22768,125,4.22440940089222,2.06163567895277,0.45536,4.189453125,7056356,3.50580527423432,0.178837193743569,3.50078662542196,0.181107388401754
"CIFAR-100",50000,"D121",7.5,1e-05,9520,80,7.94298751055788,0.896679914982213,0.1904,2.45849609375,7056356,3.57585949675981,0.17042795105774,3.67517056831947,0.166343802741007
"CIFAR-100",50000,"D121",7.5,1e-05,8752,275,3.3042801264723,4.01365729260292,0.17504,4.375,7056356,3.53245738207125,0.187159104875145,3.44331699325925,0.191715608705494
"CIFAR-100",50000,"D121",7.5,1e-05,21808,265,7.03396683381335,7.84756853009943,0.43616,6.025390625,7056356,4.57447726624485,0.0217222705886974,4.57694726723891,0.0208971660356051
"CIFAR-100",50000,"D121",7.5,1e-05,30576,390,8.24209996037844,7.69881333550119,0.61152,8.896484375,7056356,4.60595424444295,0.0152371898934995,4.61211235706623,0.0185950370333466
"CIFAR-100",50000,"D121",7.5,1e-05,46368,430,2.63500173588234,9.62474605892135,0.92736,9.345703125,7056356,3.92724379464692,0.105501072223761,3.86967502190517,0.114093949282583
"CIFAR-100",50000,"D121",7.5,1e-05,38240,300,4.5787737463378,1.9910320809189,0.7648,7.8173828125,7056356,3.70124142753835,0.14565805483764,3.67710622549057,0.1547
"CIFAR-100",50000,"D121",7.5,1e-05,48608,495,3.68845880052413,7.85568292595108,0.97216,10.01953125,7056356,4.01167648006231,0.0883404916412441,3.99664754133958,0.0974974466919091
"CIFAR-100",50000,"D121",7.5,1e-05,36768,310,2.6183585218633,4.32818709738896,0.73536,7.9443359375,7056356,3.76254699480673,0.136760464606977,3.69863337736863,0.154900171881228
"CIFAR-100",50000,"D121",7.5,1e-05,5408,470,2.41988444751084,3.68076933421572,0.10816,4.4189453125,7056356,3.58304076085145,0.175827403541212,3.52280681408369,0.184607999826907
"CIFAR-100",50000,"D121",7.5,1e-05,28112,135,0.699360054011059,1.29045564338366,0.56224,5.283203125,7056356,4.11084149100564,0.0938141707769393,4.12457842826843,0.093
